class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,p,f,,n,k,,e,s,s,w,,w,,p,k,s,u
e,x,s,y,t,a,f,c,b,k,,c,s,s,,w,w,,p,n,,g
,b,s,w,t,l,f,c,b,n,e,c,s,,w,w,,,p,n,,m
,x,y,w,t,p,f,,n,n,,e,s,,w,w,w,,p,k,,u
,x,s,g,f,n,f,w,b,k,,e,s,s,w,w,,o,e,n,,g
e,,y,y,t,a,f,c,b,n,e,c,s,,w,w,w,o,p,k,n,g
e,b,s,w,t,a,f,c,b,g,,c,s,s,,w,w,,p,k,n,m
e,b,y,w,t,l,f,,b,n,e,c,s,s,w,,w,,p,n,,m
p,x,y,w,t,p,f,c,n,p,,e,s,s,w,w,w,o,p,k,v,g
e,,s,y,t,a,f,c,b,g,e,c,s,s,,w,w,o,p,k,s,m
,x,y,y,t,l,f,c,b,g,,c,s,,w,,w,,p,n,n,g
e,x,y,y,t,a,f,c,b,n,,c,s,,,w,w,o,p,k,s,m
e,,s,y,t,a,f,c,b,w,,c,s,s,w,w,w,o,p,n,s,g
,,y,w,t,p,f,,n,k,e,e,s,s,,w,w,,p,n,v,u
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w,,,,e,k,a,g
e,s,f,g,f,n,f,c,n,k,e,e,s,s,,,w,,p,n,y,u
e,,f,w,f,n,f,w,b,k,,e,s,s,w,w,,,e,n,a,g
p,x,s,n,t,p,f,,n,n,,e,s,s,,w,w,,p,k,s,g
p,,y,w,t,p,f,c,n,n,e,e,s,,w,w,w,o,p,n,s,u
,x,s,n,t,p,f,,n,k,e,e,s,,,w,w,,p,n,s,u
,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,,p,n,s,m
p,x,y,n,t,p,f,,n,n,e,e,s,,w,w,w,,p,n,,g
e,b,y,y,t,l,f,c,b,k,,c,s,,,w,w,,p,n,,m
e,b,y,w,t,a,f,c,b,w,e,c,s,,w,w,w,,,n,n,m
e,b,s,w,t,l,f,,b,g,e,c,s,s,,w,w,,,k,,m
p,,s,w,t,p,f,,n,n,e,e,s,,w,,w,,p,n,v,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,,p,n,n,m
e,,y,w,t,l,f,c,b,w,,c,s,,,,w,,p,n,n,m
,f,f,n,f,n,f,c,n,k,,e,s,s,w,w,w,,p,k,y,u
,,s,y,t,a,f,w,n,n,t,b,s,,,,,,p,n,,d
e,,s,y,t,l,f,c,b,g,e,c,s,,w,w,w,,,n,n,m
p,x,y,w,t,p,f,,n,k,,e,s,,,w,w,o,p,n,,u
,x,y,y,t,l,f,c,b,n,,c,s,s,w,w,w,o,p,n,,m
e,x,y,n,t,l,f,c,b,p,,r,s,y,w,w,w,,p,n,y,p
e,,y,y,t,l,f,c,b,n,,c,s,,w,w,,,p,n,s,m
,,f,y,t,l,f,w,n,w,,b,s,s,,w,,,p,n,v,d
,s,f,g,f,n,f,c,n,k,e,e,s,,,w,w,,,k,v,u
,,y,n,t,p,f,,n,w,,e,s,,,,w,,p,n,,u
e,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,,,p,n,v,d
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,,k,s,m
e,b,y,y,t,a,f,c,b,n,e,c,s,,w,w,w,,p,n,s,g
,,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,,p,k,y,p
,x,f,n,f,n,f,c,n,g,,e,s,,w,,w,,,k,y,u
,x,y,w,t,p,f,c,n,p,,e,s,,w,,w,o,,n,v,g
,x,s,y,t,a,f,c,b,w,e,c,s,,w,w,w,o,p,k,,m
e,x,y,w,t,a,f,c,b,n,,c,s,,w,w,w,,,n,,g
,x,y,y,t,l,f,c,b,k,,c,s,s,,,w,,p,k,s,m
e,x,s,w,t,l,f,c,b,w,,c,s,,,w,,,p,n,n,m
,x,y,y,t,l,f,c,b,n,,r,s,,,w,w,o,,n,s,p
,f,y,y,t,l,f,c,b,w,,r,s,y,w,w,w,,,k,s,p
e,x,y,n,t,a,f,c,b,w,,r,s,y,w,w,w,,,k,s,g
e,x,s,w,t,l,f,c,b,k,e,c,s,,w,w,w,,p,k,s,g
e,b,s,w,t,l,f,c,b,k,e,c,s,,,w,w,o,p,n,n,m
p,x,y,n,t,p,f,c,n,k,,e,s,,w,w,w,,p,n,,u
,x,s,w,t,p,f,,n,k,e,e,s,s,w,,,,,k,v,u
e,b,y,y,t,a,f,c,b,w,,c,s,,w,,w,,p,k,s,m
e,f,f,g,f,n,f,w,b,n,,e,s,,w,,,o,e,n,,g
e,,s,w,t,a,f,c,b,w,e,c,s,,w,,w,,p,n,,g
,x,s,y,t,l,f,c,b,k,,c,s,,,w,w,o,p,k,n,g
e,x,y,n,t,a,f,,b,p,e,r,s,,w,,w,,,k,y,p
,s,f,g,f,n,f,c,n,k,,e,s,s,,w,w,,p,n,v,u
e,b,y,y,t,a,f,c,b,k,,c,s,,,w,w,,p,n,,m
e,,s,y,t,l,f,c,b,g,,c,s,,w,,,o,p,n,s,m
e,b,y,y,t,l,f,c,b,g,,c,s,s,w,,w,,p,n,n,m
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g
e,f,s,n,f,n,f,w,b,k,,e,s,,w,w,,o,e,k,a,g
e,x,s,w,t,l,f,c,b,n,,c,s,s,w,w,w,,p,k,s,g
e,,y,y,t,a,f,c,b,w,,r,s,,,w,w,o,p,n,s,g
e,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,w,,p,k,n,g
e,x,f,g,f,n,f,c,n,p,e,e,s,,,w,w,,,n,,u
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,,,,n,v,d
e,,y,w,t,l,f,c,b,g,e,c,s,s,w,w,w,,p,n,s,m
,,f,y,t,l,f,w,n,w,t,b,s,s,w,,,,p,n,,d
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,,p,k,s,p
e,b,s,y,t,a,f,c,b,k,,c,s,,w,,w,o,,k,s,g
e,f,s,y,t,l,f,w,n,p,,b,s,,,w,,,p,n,v,d
e,x,s,w,t,l,f,w,n,n,t,b,s,,w,,,,p,u,v,d
e,f,y,n,t,l,f,c,b,p,e,r,s,,w,w,w,,p,n,y,p
,,y,n,t,p,f,,n,w,e,e,s,,w,w,w,,p,n,,u
