class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,k,e,e,,s,w,w,w,o,p,k,s,u
e,x,,y,t,a,f,c,b,k,e,,s,s,w,w,w,,p,n,,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,,p,n,,m
p,x,y,w,t,p,f,c,n,n,e,e,,,w,w,w,o,p,k,s,u
e,x,s,g,f,n,f,w,b,k,t,e,,s,w,w,w,,e,n,a,g
e,x,y,y,t,a,f,c,,n,e,c,s,s,w,w,,,p,k,,
e,b,s,w,t,a,f,c,b,g,e,c,s,,w,w,,o,p,k,,
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,,p,n,s,m
p,x,,w,t,p,f,c,n,p,e,,s,,w,w,w,o,p,k,v,g
e,b,,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,
e,,y,y,t,l,f,c,b,g,e,,,s,w,w,w,o,p,n,n,g
e,x,y,y,t,a,f,c,,n,e,,s,,w,w,w,,p,k,s,
,b,s,y,t,a,f,c,b,w,e,,,,w,w,w,,p,n,,g
p,x,y,w,t,p,f,c,n,k,e,e,s,,w,w,,,p,n,v,
e,x,f,n,f,n,f,w,,n,t,e,s,,w,w,w,o,e,k,a,g
e,s,f,g,f,n,f,c,n,k,e,,s,s,w,w,w,,p,n,y,u
e,f,,w,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,
,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,,u
p,x,s,n,t,p,f,c,n,k,e,e,,s,w,w,w,o,p,n,s,
,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,
p,x,y,n,t,p,f,c,,n,e,,s,s,w,w,w,,p,n,v,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,,
,b,y,w,t,a,f,c,b,w,e,c,,s,w,w,,o,p,n,n,m
e,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,w,,p,k,s,m
p,f,s,w,t,p,f,c,n,n,e,e,s,,w,w,,,p,n,v,
e,x,y,y,t,a,f,c,,n,e,,s,s,w,w,w,,p,n,n,m
e,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,,o,p,n,n,
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,,p,k,,u
e,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
,b,s,y,t,l,f,c,b,g,e,c,s,,w,w,w,o,p,n,,m
,x,,w,t,p,f,c,n,k,e,,s,,w,w,w,o,p,n,s,
e,x,y,y,t,l,f,c,b,n,e,,,,w,w,w,o,p,n,n,m
,x,y,n,t,l,f,c,b,p,e,,s,y,w,w,w,o,p,n,y,p
,b,,y,t,l,f,c,b,n,e,c,,,w,w,w,o,p,n,s,
e,x,f,y,t,l,f,w,n,w,t,b,,s,w,w,w,,p,n,,
e,s,f,g,f,n,f,c,n,k,e,e,,,w,w,,o,p,k,,u
p,x,,n,t,p,f,c,n,w,e,e,,s,w,w,w,o,p,n,s,
e,x,f,y,t,a,f,w,n,p,t,,s,s,w,w,w,o,p,n,,d
e,b,s,y,t,l,f,c,b,k,e,c,s,,w,w,w,,p,k,,m
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,,p,n,s,g
,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,,o,p,k,,p
e,x,f,n,f,n,f,c,,g,e,e,s,,w,w,w,o,p,k,,u
p,x,,w,t,p,f,c,,p,e,e,,,w,w,,,p,n,v,g
e,x,s,y,t,a,f,c,b,w,e,c,,,w,w,w,o,p,k,n,m
e,x,y,w,t,a,f,c,,n,e,,,,w,w,w,,p,n,,g
e,x,y,y,t,l,f,c,,k,e,c,s,s,w,w,w,,p,k,s,m
e,,,w,t,l,f,c,b,w,e,c,,s,w,w,,,p,n,n,m
