class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,p,f,c,n,,e,,s,s,w,w,w,o,p,k,s,u
e,x,s,y,t,a,f,c,b,k,,c,s,,w,,,o,,n,n,g
e,b,s,w,t,l,f,c,b,,,c,s,,w,,w,o,,n,n,m
p,x,y,w,t,p,f,c,,,,e,s,s,w,w,,o,p,k,s,u
e,x,s,g,f,n,f,w,,k,t,e,s,s,w,w,,o,e,n,a,g
e,x,y,y,t,a,f,c,b,,,,s,,w,,,o,p,k,n,g
e,b,s,,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,,m
e,b,y,w,t,l,f,c,,,,c,s,,w,w,w,o,p,n,s,m
p,x,y,,t,p,f,c,,,e,,s,,w,w,w,o,p,k,v,g
e,b,s,,t,a,f,c,,g,,c,s,s,w,w,w,o,p,k,s,m
e,x,y,y,t,l,f,c,,g,,c,s,,w,w,,o,p,n,,g
e,x,y,,t,a,f,c,,n,,c,s,s,w,w,w,o,p,k,s,m
e,b,s,y,t,a,f,c,b,w,e,,s,s,w,w,,o,,n,s,g
p,x,y,w,t,p,f,c,n,k,,,s,s,w,w,w,o,p,n,v,u
e,x,f,n,f,n,f,w,,n,,e,s,f,w,,,o,e,k,a,g
e,s,f,g,f,n,f,c,,k,e,e,s,,w,w,,o,,n,,u
e,f,f,w,f,n,f,w,,k,t,e,s,s,w,,w,o,,n,a,g
p,x,s,n,t,p,f,c,,,e,e,s,s,w,w,w,o,p,k,,g
p,x,y,,t,p,f,c,,,,e,s,s,w,,w,o,p,n,s,u
p,x,s,n,t,p,f,c,,,e,e,s,,w,w,w,o,p,n,s,u
e,b,s,y,t,a,f,c,,k,e,c,s,,w,,w,o,p,n,s,m
p,x,y,n,t,p,f,c,,,e,e,s,s,w,w,w,o,p,n,,g
e,b,y,y,t,l,f,c,,,e,c,s,,w,w,w,o,p,n,s,m
e,b,y,w,t,a,f,c,b,,e,c,s,s,w,,,o,,n,n,m
e,b,s,,t,l,f,c,,g,,,s,s,w,w,w,o,p,k,s,m
p,f,s,w,t,p,f,c,,n,e,e,s,s,w,,w,o,p,n,v,g
e,,y,y,t,a,f,c,,,e,,s,,w,,w,o,,n,n,m
e,x,y,w,t,l,f,c,,w,e,c,s,,w,,w,o,p,n,n,m
e,f,f,,f,n,f,c,,,e,e,s,,w,w,,o,,k,y,u
e,x,s,y,t,a,f,w,n,,,,s,,w,w,w,o,p,n,,d
e,b,s,y,t,l,f,c,,g,,c,s,s,w,,w,o,p,n,,m
p,x,y,w,t,p,f,c,,,e,e,s,s,w,w,w,o,p,n,,u
e,x,y,y,t,l,f,c,,,e,,s,,w,,w,o,p,n,n,m
e,x,y,n,t,l,f,c,,p,,r,s,y,w,,w,o,,n,y,p
e,b,y,y,t,l,f,c,,n,e,c,s,,w,w,w,o,p,n,s,m
e,x,f,y,t,l,f,w,n,,,b,s,,w,w,w,o,p,n,v,d
e,s,f,,f,n,f,c,,k,,e,s,s,w,w,w,o,,k,v,u
p,x,y,n,t,p,f,c,,,,e,s,,w,,,o,p,n,,u
e,x,f,y,t,a,f,w,n,,t,b,s,s,w,w,w,o,,n,v,d
e,b,s,,t,l,f,c,b,k,e,c,s,s,w,,,o,,k,s,m
e,b,y,y,t,a,f,c,b,n,,c,s,,w,w,w,o,p,n,,g
e,x,y,,t,l,f,c,,n,e,r,s,y,w,w,w,o,p,k,y,p
e,x,f,n,f,n,f,c,,g,,e,s,s,w,,w,o,,k,y,u
p,x,y,w,t,p,f,c,n,p,,e,s,s,w,,w,o,p,n,,g
e,x,s,y,t,a,f,c,b,w,,c,s,,w,,w,o,p,k,n,m
e,x,y,w,t,a,f,c,b,n,e,,s,s,w,w,,o,p,n,n,g
e,x,y,y,t,l,f,c,,k,e,c,s,,w,,w,o,,k,s,m
e,x,s,w,t,l,f,c,,,e,c,s,,w,,,o,,n,n,m
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,,w,o,,n,s,p
e,f,y,y,t,l,f,c,b,,,,s,y,w,w,w,o,p,k,,p
e,x,y,n,t,a,f,c,b,,e,r,s,y,w,,w,o,p,k,s,g
e,x,s,,t,l,f,c,,k,e,,s,s,w,,w,o,p,k,,g
e,b,s,w,t,l,f,c,,k,,c,s,,w,w,w,o,,n,,m
p,x,y,n,t,p,f,c,,,e,e,s,,w,w,w,o,p,n,v,u
p,x,s,,t,p,f,c,n,,e,,s,s,w,w,w,o,p,k,v,u
e,b,y,,t,a,f,c,b,,,c,s,s,w,,w,o,p,k,,m
e,f,f,g,f,n,f,w,,n,,e,s,s,w,,w,o,e,n,a,g
e,b,s,w,t,a,f,c,,,e,,s,s,w,w,,o,,n,,g
e,x,s,y,t,l,f,c,b,,e,c,s,s,w,,w,o,p,k,,g
e,x,y,,t,a,f,c,,,,r,s,y,w,w,w,o,,k,y,p
e,s,f,g,f,n,f,c,n,k,,e,s,,w,,w,o,p,n,,u
e,,y,y,t,a,f,c,,,e,c,s,,w,,,o,p,n,,m
e,b,s,,t,l,f,c,b,,,c,s,,w,,w,o,p,n,s,m
e,b,y,y,t,l,f,c,,g,e,,s,s,w,,w,o,p,n,n,m
e,b,y,w,t,l,f,c,,,,,s,,w,w,,o,p,n,s,g
e,f,s,,f,n,f,w,,k,,e,s,,w,w,w,o,,k,a,g
e,x,s,,t,l,f,c,b,n,e,c,s,,w,,w,o,,k,s,g
e,f,y,,t,a,f,c,b,,e,,s,y,w,w,w,o,p,n,s,g
e,x,y,,t,a,f,c,,w,e,c,s,,w,,w,o,,k,,g
e,x,f,g,f,n,f,c,,p,,e,s,,w,,w,o,p,n,,u
e,f,f,y,t,l,f,w,n,,,,s,,w,,w,o,p,n,v,d
e,b,y,w,t,l,f,c,b,g,e,c,s,,w,,,o,,n,s,m
e,f,f,y,t,l,f,w,n,,,b,s,,w,w,w,o,,n,v,d
e,x,y,n,t,a,f,c,,,e,r,s,,w,w,w,o,p,k,s,p
e,b,s,y,t,a,f,c,b,k,,c,s,s,w,,w,o,p,k,s,g
e,f,s,y,t,l,f,w,n,p,,b,s,,w,w,w,o,p,n,,d
e,x,s,w,t,l,f,w,n,,t,,s,s,w,,,o,p,u,v,d
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,y,p
p,x,y,n,t,p,f,c,n,,,e,s,s,w,,w,o,p,n,v,u
e,f,y,n,t,a,f,c,,,e,r,s,y,w,w,w,o,p,n,,g
e,x,s,n,f,n,f,w,b,k,,e,f,s,w,,w,o,e,n,s,g
p,x,y,w,t,p,f,c,,w,e,e,s,,w,,w,o,p,k,s,g
e,f,f,g,f,n,f,c,,n,e,e,s,,w,w,w,o,p,n,y,u
e,x,f,g,f,n,f,w,,n,t,,s,,w,,w,o,,n,s,g
e,x,y,,t,l,f,c,b,w,,r,s,,w,w,w,o,p,k,s,g
e,x,s,,f,n,f,w,b,k,t,e,s,,w,w,w,o,e,k,,g
e,b,s,w,t,a,f,c,b,w,e,c,s,,w,,,o,p,k,s,g
e,x,s,w,t,l,f,c,b,n,e,c,s,,w,w,w,o,p,n,s,g
e,f,y,n,t,l,f,c,b,,,,s,,w,,w,o,p,k,y,g
e,s,f,n,f,n,f,c,,n,e,,s,,w,w,w,o,p,n,,u
e,,f,n,f,n,f,c,,n,,e,s,,w,w,w,o,,n,y,u
e,b,s,,t,l,f,c,b,k,e,c,s,,w,w,w,o,,k,s,g
e,x,y,y,t,a,f,c,,,,c,s,s,w,w,w,o,p,k,s,g
e,x,y,y,t,l,f,c,b,,e,c,s,,w,,w,o,p,k,,m
e,x,s,n,f,n,f,w,b,n,,e,s,,w,,w,o,,n,,g
e,x,s,w,t,a,f,c,,g,,c,s,s,w,,w,o,,n,,g
e,f,y,n,t,l,f,c,,p,,r,s,y,w,,,o,p,n,s,g
e,x,s,,t,a,f,c,,,,c,s,,w,w,w,o,p,k,n,g
e,b,s,w,t,a,f,c,,,,c,s,,w,w,w,o,,n,s,g
e,x,y,,t,a,f,c,b,,,,s,,w,w,w,o,,k,s,g
e,x,f,n,f,n,f,w,,p,,e,f,,w,,,o,e,k,s,g
e,b,s,y,t,l,f,c,,,,c,s,s,w,,w,o,p,k,n,g
e,f,y,y,t,l,f,c,,w,,r,s,,w,w,,o,,n,s,g
e,x,y,y,t,a,f,c,b,n,,r,s,y,w,,w,o,p,k,y,p
e,b,y,w,t,l,f,c,,,,,s,,w,w,w,o,p,n,,g
e,x,y,y,t,a,f,c,,n,,c,s,s,w,w,,o,p,k,n,m
e,x,y,y,t,a,f,c,,w,,r,s,,w,w,w,o,,n,,g
e,b,y,,t,l,f,c,,,,c,s,,w,w,w,o,p,k,s,m
e,b,y,w,t,a,f,c,,g,e,c,s,s,w,w,w,o,,n,s,m
e,x,s,y,t,a,f,c,b,,,c,s,,w,,w,o,,k,n,m
e,x,s,,t,l,f,c,,,,c,s,,w,,w,o,p,k,n,g
e,s,f,g,f,n,f,c,n,g,,e,s,,w,w,,o,,k,,u
e,x,f,w,t,a,f,w,n,,t,b,s,s,w,,w,o,p,u,v,d
e,x,s,y,t,a,f,c,,,,c,s,s,w,,w,o,p,k,n,m
p,x,y,w,t,p,f,c,,,e,e,s,s,w,w,w,o,p,n,v,u
e,x,y,y,t,l,f,c,,,,r,s,,w,w,,o,,n,s,g
e,s,f,g,f,n,f,c,,p,,e,s,s,w,w,w,o,p,n,,u
e,,y,y,t,l,f,c,,,e,,s,,w,,w,o,p,k,,g
e,x,s,,t,l,f,w,n,,,b,s,,w,w,w,o,,u,v,d
e,s,f,n,f,n,f,c,,k,,,s,s,w,w,w,o,p,n,,u
p,x,s,,t,p,f,c,,k,e,e,s,,w,w,w,o,p,k,v,g
e,x,y,w,t,a,f,c,b,,,c,s,s,w,,,o,p,n,n,m
p,f,y,,t,p,f,c,,,e,e,s,s,w,w,w,o,p,k,v,g
e,f,s,g,f,n,f,w,,,,,s,,w,,w,o,,n,a,g
e,x,s,y,t,l,f,c,b,,,,s,,w,w,w,o,p,n,s,m
e,x,s,w,f,n,f,w,b,n,t,e,s,,w,,w,o,e,k,,g
e,b,s,y,t,a,f,c,b,w,,c,s,s,w,w,w,o,p,n,n,g
e,f,f,g,f,n,f,w,b,h,,e,s,,w,w,w,o,,n,a,g
e,x,s,,t,l,f,c,,,e,c,s,s,w,,w,o,p,k,n,g
e,,s,w,t,l,f,c,b,,,c,s,s,w,w,w,o,,n,,m
e,b,s,w,t,l,f,c,,w,e,c,s,s,w,,w,o,p,n,,g
e,b,y,w,t,l,f,c,,w,e,c,s,,w,w,w,o,p,n,,m
e,f,s,w,t,l,f,w,n,w,t,b,s,,w,,w,o,p,u,,d
e,x,y,,t,l,f,c,b,,e,c,s,s,w,w,,o,p,k,,m
e,f,s,w,t,a,f,w,n,p,,b,s,,w,w,w,o,p,n,v,d
p,x,y,w,t,p,f,c,,,e,e,s,s,w,,w,o,p,n,v,u
e,f,f,w,t,l,f,w,,,,b,s,,w,,,o,,n,,d
e,x,y,y,t,a,f,c,b,n,,c,s,s,w,,w,o,p,n,,g
p,x,s,n,t,p,f,c,,,e,,s,s,w,w,w,o,p,n,,g
e,b,s,y,t,l,f,c,,w,,c,s,,w,w,w,o,p,n,n,g
e,x,y,,t,a,f,c,b,,,,s,y,w,w,,o,p,k,y,p
e,b,y,y,t,l,f,c,,g,,,s,,w,w,,o,p,k,,m
e,s,f,n,f,n,f,c,n,,,e,s,,w,w,w,o,,n,,u
e,f,y,,t,a,f,c,,,,,s,,w,w,w,o,p,k,y,p
e,x,y,y,t,a,f,c,b,,e,c,s,s,w,w,w,o,,k,n,g
e,x,f,g,f,n,f,w,,k,t,e,f,,w,w,w,o,,k,s,g
e,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,w,o,,n,a,g
e,x,y,y,t,l,f,c,,w,e,,s,,w,,w,o,p,n,n,m
e,b,s,,t,l,f,c,,k,,c,s,s,w,w,w,o,p,k,n,g
e,b,y,w,t,a,f,c,b,,,c,s,s,w,w,w,o,,k,,m
e,x,y,w,t,a,f,c,,w,e,c,s,,w,,w,o,p,n,s,g
e,x,s,n,f,n,f,w,b,p,,,f,s,w,w,w,o,,n,a,g
e,x,y,w,t,l,f,c,,g,e,c,s,,w,,w,o,p,n,,g
e,s,f,n,f,n,f,c,,k,e,e,s,s,w,w,,o,,k,v,u
e,x,s,w,t,a,f,w,n,,,b,s,,w,w,w,o,,u,,d
e,x,y,,t,l,f,c,,,,r,s,y,w,,w,o,p,k,,g
e,b,y,y,t,a,f,c,,,e,c,s,s,w,w,w,o,p,n,n,g
e,x,y,w,t,a,f,c,,,,c,s,,w,w,w,o,,n,,g
e,b,y,,t,a,f,c,,n,,c,s,,w,,w,o,p,k,s,m
e,b,s,y,t,a,f,c,,,e,c,s,,w,w,,o,p,k,s,g
e,b,s,,t,l,f,c,,,,c,s,s,w,,w,o,p,k,,m
e,b,y,y,t,a,f,c,,n,e,c,s,,w,w,,o,,k,n,g
e,x,f,n,f,n,f,c,n,,,e,s,,w,w,w,o,p,n,y,u
e,f,y,n,t,l,f,c,b,,,r,s,y,w,,w,o,,n,,g
e,x,y,w,t,a,f,c,,,,c,s,s,w,w,w,o,p,n,s,g
e,f,y,y,t,l,f,c,,,,r,s,y,w,,,o,p,n,y,p
e,b,s,w,t,a,f,c,,,,c,s,s,w,w,w,o,p,n,s,g
