V1,V2,V3,V4,V5,V6,V7
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,med,unacc
,vhigh,2,2,small,high,unacc
,vhigh,2,2,med,,unacc
vhigh,vhigh,2,2,,,unacc
vhigh,vhigh,2,2,med,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,,low,unacc
vhigh,vhigh,2,4,small,med,unacc
,vhigh,2,4,small,high,unacc
vhigh,vhigh,2,4,med,low,unacc
,vhigh,2,4,med,med,unacc
vhigh,vhigh,2,4,,high,unacc
vhigh,vhigh,2,4,big,low,
vhigh,vhigh,2,4,big,med,unacc
,vhigh,2,4,big,high,unacc
vhigh,vhigh,2,more,small,low,unacc
vhigh,vhigh,2,more,small,med,unacc
vhigh,vhigh,2,more,small,high,
vhigh,vhigh,2,more,med,low,unacc
vhigh,vhigh,2,more,,med,unacc
vhigh,vhigh,2,more,,high,unacc
,vhigh,2,more,big,low,
,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,high,unacc
,vhigh,3,2,small,low,unacc
vhigh,vhigh,3,2,small,med,unacc
vhigh,vhigh,3,2,small,high,unacc
vhigh,vhigh,3,2,med,low,unacc
vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,3,2,med,high,unacc
vhigh,vhigh,3,2,,low,unacc
vhigh,vhigh,3,2,,med,unacc
vhigh,vhigh,3,2,big,high,unacc
vhigh,vhigh,3,4,,low,unacc
,vhigh,3,4,small,med,unacc
vhigh,vhigh,3,4,small,high,unacc
vhigh,vhigh,3,4,,,unacc
,vhigh,3,4,med,med,unacc
vhigh,vhigh,3,4,med,high,unacc
vhigh,vhigh,3,4,big,low,unacc
vhigh,vhigh,3,4,,med,unacc
vhigh,vhigh,3,4,big,high,unacc
vhigh,vhigh,3,more,small,low,unacc
vhigh,vhigh,3,more,,med,unacc
,vhigh,3,more,,high,
vhigh,vhigh,3,more,med,low,unacc
vhigh,vhigh,3,more,,med,unacc
vhigh,vhigh,3,more,,,unacc
,vhigh,3,more,,low,unacc
vhigh,vhigh,3,more,big,med,unacc
vhigh,vhigh,3,more,big,high,unacc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,,med,unacc
vhigh,vhigh,4,2,small,high,unacc
,vhigh,4,2,med,low,unacc
vhigh,vhigh,4,2,med,med,unacc
,vhigh,4,2,med,high,
,vhigh,4,2,big,low,
vhigh,vhigh,4,2,big,,unacc
vhigh,vhigh,4,2,big,,unacc
,vhigh,4,4,small,,unacc
vhigh,vhigh,4,4,small,med,
,vhigh,4,4,small,high,
vhigh,vhigh,4,4,med,low,unacc
vhigh,vhigh,4,4,,med,unacc
vhigh,vhigh,4,4,med,,
vhigh,vhigh,4,4,big,low,unacc
vhigh,vhigh,4,4,big,med,unacc
vhigh,vhigh,4,4,big,high,unacc
,vhigh,4,more,,low,unacc
vhigh,vhigh,4,more,small,med,unacc
vhigh,vhigh,4,more,,high,unacc
,vhigh,4,more,med,low,unacc
vhigh,vhigh,4,more,med,med,unacc
,vhigh,4,more,med,high,unacc
vhigh,vhigh,4,more,,low,unacc
vhigh,vhigh,4,more,big,med,unacc
,vhigh,4,more,big,high,unacc
,vhigh,5more,2,small,,
vhigh,vhigh,5more,2,small,med,unacc
,vhigh,5more,2,small,high,unacc
vhigh,vhigh,5more,2,,low,unacc
vhigh,vhigh,5more,2,,med,unacc
vhigh,vhigh,5more,2,,high,unacc
vhigh,vhigh,5more,2,big,low,unacc
vhigh,vhigh,5more,2,big,med,unacc
vhigh,vhigh,5more,2,big,high,unacc
